metric,estimate,ci_lower,ci_upper,bootstrap_iterations,bootstrap_unit,stratified_by,model_id,family_version,architecture,encoder_id,anchor_mode,scenario_count
calibration_slope,0.5738329707083816,0.5500515315079685,0.5980483943295333,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
calibration_intercept,0.21895358840613977,0.20422016987841668,0.23301361466038104,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
constant_half_mae,0.19999999999999998,0.19999999999999998,0.19999999999999998,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
endpoint_distance_ratio_mae,0.16100601143971588,0.15883013330816154,0.1631410131454786,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
length_only_cv_mae,0.20357487377575412,0.20199027397295136,0.20526462333271084,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
isotonic_cv_mae,0.13405777733915927,0.12969495279194976,0.13840071669894405,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
endpoint_separation,0.2792543123640995,0.27509561313699477,0.28332279667443344,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,multilingual_e5_large_instruct,self,320
interior_calibration_error,0.14848843149404406,0.14464939377077063,0.1522455854336003,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
median_absolute_error,0.13825932778614938,0.1338993124862344,0.14265516639971337,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
normalized_off_axis_drift,0.6749421100758888,0.6671688732056572,0.6828714024396945,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interpolation_distance_mean,0.7003641058149233,0.6924877581803367,0.7082399017956637,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
interpolation_distance_rms,0.709015184891056,0.7009056319936956,0.7171689869843278,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
out_of_range_rate,0.0018750000000000004,0.0008333333333333333,0.003125,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
nearest_neighbor_mean_rank,3.849583333333334,3.810828125,3.886875,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
nearest_neighbor_mean_rank_normalized,0.4749305555555555,0.46847135416666663,0.4811458333333333,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
spearman_monotonicity,0.8103124999999999,0.7843749999999999,0.8356249999999997,10000,scenario_id,style_axis,qwen35_9b,Qwen3.5,Dense,text2vec_base_chinese,self,320
