model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_4b,bge_m3,isotonic_grouped_cv,median_absolute_error,0.1797255840900504,0.17648379063601385,0.1829859891662035,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,isotonic_grouped_cv,spearman,0.4903803126880099,0.44793858573069,0.5317501985903555,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,isotonic_grouped_cv,pearson,0.5076214927779366,0.46691607520169237,0.5479557556586775,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,isotonic_grouped_cv,calibration_slope,0.07608939546848789,0.06891777684884308,0.0834677563146122,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,isotonic_grouped_cv,calibration_intercept,0.4617192564908542,0.456541831341478,0.46687500068193116,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,length_only_grouped_cv,mae,0.20136201355169017,0.20085360457821233,0.2019134050296029,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,length_only_grouped_cv,median_absolute_error,0.1716992981661595,0.1703262934012175,0.1734058931027902,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,length_only_grouped_cv,spearman,0.036779636762699575,-0.023531061999732646,0.09449956351808293,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,length_only_grouped_cv,pearson,0.04040359552446511,-0.01611775487416232,0.0974574620417289,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,length_only_grouped_cv,calibration_slope,0.00024438043567246126,-0.0019208884959121821,0.0023004319893456552,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,length_only_grouped_cv,calibration_intercept,0.49976244308859813,0.4986977213335574,0.5008350111897577,320,deterministic local computation,,0,,,external_pending
qwen35_4b,bge_m3,raw_projection,mae,0.2088578068459666,0.2049443469782296,0.2127412951956092,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,raw_projection,median_absolute_error,0.18777954670010888,0.18294565837761478,0.19272398174345381,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,raw_projection,spearman,0.49562499999999987,0.45187499999999997,0.5374999999999999,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,raw_projection,pearson,0.5236360602015988,0.48263606132127645,0.5635734133924076,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,raw_projection,calibration_slope,0.1937125445207619,0.1763332044867294,0.2115917628337581,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,bge_m3,raw_projection,calibration_intercept,0.3467569836093703,0.33472984388053517,0.35894264944759463,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_4b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,mae,0.31209375,0.30459348958333327,0.3191114583333333,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
qwen35_4b,fixed_qwen36_35b_scalar_judge,llm_scalar_judge,median_absolute_error,0.30355902777777777,0.2957638888888889,0.3112673611111111,320,one fixed-judge request per generated text,2.93183180925,1668699,,,external_pending
